publish_at,content,uuid
2025-09-07,如果新聞出現 營收增加 的情況，則股票隔日的收盤價可能 上漲,9fb6d87f-229a-523d-a864-138ae95fa683
2025-09-07,如果新聞出現 獲利提升 的情況，則股票隔日的收盤價可能 上漲,4c0f97eb-2bc8-5d4d-96fb-58824bfe0405
2025-09-07,如果新聞出現 擴大投資 的情況，則股票隔日的收盤價可能 上漲,a6fba059-30f0-5b51-8844-9dbec2db00e5
2025-09-07,如果新聞出現 獲得重大訂單或合作案 的情況，則股票隔日的收盤價可能 上漲,c0ff9faf-047b-51c3-8169-69686370f0ef
2025-09-07,如果新聞出現 技術突破或取得專利 的情況，則股票隔日的收盤價可能 上漲,0c37ba0c-97ea-5284-b9fc-e83c564d3c9a
2025-09-07,如果新聞出現 策略聯盟或併購案完成 的情況，則股票隔日的收盤價可能 上漲,bf5429f8-df20-546d-aae3-77280e32e852
2025-09-07,如果新聞出現 國際關稅降低 的情況，則股票隔日的收盤價可能 上漲,9ce9ac5d-345e-5e66-9d64-734965f3b773
2025-09-07,如果新聞出現 匯率有利公司營收(這個要看每間公司進出口不同，像是如果本國貨幣貶值有利出口) 的情況，則股票隔日的收盤價可能 上漲,9efa868d-c5f5-537c-8403-5d1843ae6044
2025-09-07,如果新聞出現 營收、獲利、毛利/營益率提升；財測上修、財報優於預期 的情況，則股票隔日的收盤價可能 上漲,3598ab17-a00a-543d-a519-0ce411f2c0a4
2025-09-07,如果新聞出現 重大訂單/長約到手、能見度提升；大客戶拉貨、出貨創高 的情況，則股票隔日的收盤價可能 上漲,386713bd-77ac-5257-9d25-b916143bdf9a
2025-09-07,如果新聞出現 擴產落地且稼動率上升；良率提升；量產里程碑達成；庫存去化完成 的情況，則股票隔日的收盤價可能 上漲,9cf49ebe-a597-540b-a20f-c6e0463b8a62
2025-09-07,如果新聞出現 產品漲價且需求穩定；關鍵原料/代工/運費下滑；匯率淨利有利 的情況，則股票隔日的收盤價可能 上漲,9436643a-f37b-5dce-b301-52443035b034
2025-09-07,如果新聞出現 技術突破、專利取得；新標準被採用；法規/國際認證通過 的情況，則股票隔日的收盤價可能 上漲,60409a73-edd2-5945-9227-3dfff89d6c2a
2025-09-07,如果新聞出現 策略聯盟/併購案完成且綜效明確；政府大標得標 的情況，則股票隔日的收盤價可能 上漲,2d23f28a-445f-5110-a77b-38c44aed3da8
2025-09-07,如果新聞出現 股票回購；信用評等上調；被動指數/ADR/ETF 納入；分拆/子公司上市釋放估值 的情況，則股票隔日的收盤價可能 上漲,c0fe8977-839e-531c-bd98-399b50438e94
2025-09-07,如果新聞出現 產業景氣回升、報價上行；競品出事帶來轉單 的情況，則股票隔日的收盤價可能 上漲,a631586e-894f-5a30-a6cd-44f5c47ef918
2025-09-07,如果新聞出現 政策補貼/稅優落地；關稅降低/豁免；併購審查通過 的情況，則股票隔日的收盤價可能 上漲,ade72f0a-463b-5a93-8200-fed07d95c5dc
2025-09-07,如果新聞出現 降息或金融條件轉鬆；通膨回落且需求穩；PMI/零售等領先指標轉好 的情況，則股票隔日的收盤價可能 上漲,560f2bf0-2568-52c3-a6d7-e58a4de45d57
2025-09-07,如果新聞出現 大股東/內部人增持；接班順利/關鍵高層延任 的情況，則股票隔日的收盤價可能 上漲,d6dc3bae-4cdf-5022-a203-7399aa01e528
2025-09-07,如果新聞出現 營收下降 的情況，則股票隔日的收盤價可能 下跌,6571eea0-c533-5f1b-936f-205027a5aec7
2025-09-07,如果新聞出現 獲利減少或虧損 的情況，則股票隔日的收盤價可能 下跌,ac3927bc-2b3c-50d0-9354-2bdaead8fd91
2025-09-07,如果新聞出現 產品銷售不佳或延遲上市 的情況，則股票隔日的收盤價可能 下跌,f7c038c9-7435-5e2f-b358-ab79426f825a
2025-09-07,如果新聞出現 高階管理人員異動或內部動盪 的情況，則股票隔日的收盤價可能 下跌,677fd065-2b0b-56aa-80f0-87e542e1e497
2025-09-07,如果新聞出現 財務危機或債務違約 的情況，則股票隔日的收盤價可能 下跌,817f5ddf-aa05-5834-bc86-7f9321827df3
2025-09-07,如果新聞出現 國際關稅提高 的情況，則股票隔日的收盤價可能 下跌,85d52cb2-ce7a-5e56-9b72-27807e5d97bc
2025-09-07,如果新聞出現 匯率波動(跟上面一樣，如果升值太快像前陣子台幣，對出口負面影響較大) 的情況，則股票隔日的收盤價可能 下跌,5c801156-172e-50ad-a8f2-0a398174bf06
2025-09-07,如果新聞出現 經濟衰退或成長放緩(通常是經濟指標數據不好) 的情況，則股票隔日的收盤價可能 下跌,e8bf8e1c-5e29-5eff-80f9-ac7755aa66b7
2025-09-07,如果新聞出現 營收下降、虧損或利潤下滑；毛利/營益率惡化；財測下修、財報不及預期 的情況，則股票隔日的收盤價可能 下跌,edb95613-24cd-54d0-992b-4aa52d72ff2e
2025-09-07,如果新聞出現 砍單、能見度下降；擴產過度/稼動不足；良率瓶頸；量產延後；庫存攀升 的情況，則股票隔日的收盤價可能 下跌,9800ef64-43d6-5848-845f-c4ecca17b92e
2025-09-07,如果新聞出現 價格戰降價；原物料/代工/運費上漲；油電價攀升；匯率不利或波動飆升 的情況，則股票隔日的收盤價可能 下跌,934db158-6234-5fe8-a5f2-55237dcf2820
2025-09-07,如果新聞出現 技術/專利落後；標準被邊緣化；法規/認證駁回；重大資安事故/服務中斷 的情況，則股票隔日的收盤價可能 下跌,01f7b552-9db4-51ad-aad6-93c37bbbe5a4
2025-09-07,如果新聞出現 高集中客戶轉單；政府標案流標/取消；聯盟破局；併購溢價過高、整合不順 的情況，則股票隔日的收盤價可能 下跌,83dce2f3-8818-553d-b508-2c31772c35b3
2025-09-07,如果新聞出現 信用評等下調；被動指數剔除 的情況，則股票隔日的收盤價可能 下跌,a041835a-ee1e-5d91-ad43-271e1944a829
2025-09-07,如果新聞出現 產業下行、同業價格戰；勞資糾紛/罷工；天災/事故停工、限水限電 的情況，則股票隔日的收盤價可能 下跌,b06ea6e1-84f1-5947-82c7-0ff3129fe282
2025-09-07,如果新聞出現 關稅提高；出口管制/反壟斷/反補貼收緊；海關/檢疫加嚴；併購被否決 的情況，則股票隔日的收盤價可能 下跌,26a2e787-b6a6-5088-8f70-d1e2260cd56d
2025-09-07,如果新聞出現 升息超預期；通膨黏著且需求轉弱；經濟衰退/數據轉差；金融系統性風險；地緣政治升級 的情況，則股票隔日的收盤價可能 下跌,92f80a27-7554-507b-8cb0-a56720be6bb8
2025-09-07,如果新聞出現 高層異動頻繁/內鬥；內部人減持或高比例質押；經營權之爭；ESG/環保違規與罰款 的情況，則股票隔日的收盤價可能 下跌,57b95e5d-c2fb-5065-88a0-2be148928aaa
2025-09-07,如果關鍵字 月營收 出現，則股票隔日的收盤價可能 上漲,22beb0ec-a8c7-575d-a429-39ce46476e0b
2025-09-07,如果關鍵字 營收速報 出現，則股票隔日的收盤價可能 上漲,94f917e9-ada8-5eed-9868-f7a9b2c1ab84
2025-09-07,如果關鍵字 營收億元 出現，則股票隔日的收盤價可能 上漲,c99270e2-396e-5413-a589-c24fcb6e6f4a
2025-09-07,如果關鍵字 年增率高達 出現，則股票隔日的收盤價可能 上漲,17221550-eda6-5538-860b-61759fb993b9
2025-09-07,如果關鍵字 億元年增率 出現，則股票隔日的收盤價可能 上漲,9239e5b2-de85-5a3c-91a7-548788ed548e
2025-09-07,如果關鍵字 超張 出現，則股票隔日的收盤價可能 上漲,b33a3631-9878-5286-8096-db253e59ff63
2025-09-07,如果關鍵字 買賣超 出現，則股票隔日的收盤價可能 上漲,6e849023-5c26-5714-8038-590774ffa7ac
2025-09-07,如果關鍵字 高達營收 出現，則股票隔日的收盤價可能 上漲,ca912838-4a93-56df-a81d-03a2690193cb
2025-09-07,如果關鍵字 年增 出現，則股票隔日的收盤價可能 上漲,5f72d329-cb8d-5726-a16e-78b133e2c13f
2025-09-07,如果關鍵字 近日 出現，則股票隔日的收盤價可能 上漲,c43e82b6-5853-56ba-b1e0-ef546186fe49
2025-09-07,如果關鍵字 營收年 出現，則股票隔日的收盤價可能 上漲,2126bf21-cfcb-56b2-abb8-4aee2f37c42c
2025-09-07,如果關鍵字 月增率 出現，則股票隔日的收盤價可能 上漲,dca56ec1-0dbd-5d70-a48f-8fadc61d2c69
2025-09-07,如果關鍵字 營收為 出現，則股票隔日的收盤價可能 上漲,b1cff445-af8b-5e2a-a583-0b8b35695f65
2025-09-07,如果關鍵字 最新相關 出現，則股票隔日的收盤價可能 上漲,58365f5f-1051-5860-b961-ffe505f14890
2025-09-07,如果關鍵字 相關新聞 出現，則股票隔日的收盤價可能 上漲,3121f2f7-a772-52ae-870f-842413f69386
2025-09-07,如果關鍵字 前月 出現，則股票隔日的收盤價可能 上漲,cf466899-ee77-516e-8116-2542354461d6
2025-09-07,如果關鍵字 稅後純益 出現，則股票隔日的收盤價可能 上漲,a322ddb6-da4a-58df-b02a-a950b1635725
2025-09-07,如果關鍵字 年增率月 出現，則股票隔日的收盤價可能 上漲,d97daf90-fe0a-520d-a892-9989529d1da6
2025-09-07,如果關鍵字 大幅成長 出現，則股票隔日的收盤價可能 上漲,3653342e-e79d-5f68-9904-ba4bb0555f5b
2025-09-07,如果關鍵字 增大幅 出現，則股票隔日的收盤價可能 上漲,b9d2840f-b526-5ca5-9158-283cacd79ea8
2025-09-07,如果關鍵字 億億 出現，則股票隔日的收盤價可能 上漲,815defb6-ce8b-5271-b1e0-83dd80c91348
2025-09-07,如果關鍵字 年月 出現，則股票隔日的收盤價可能 上漲,97a1cc0e-50a2-5cea-8296-d7e1e0eec41a
2025-09-07,如果關鍵字 億元年增 出現，則股票隔日的收盤價可能 上漲,1d5a8f51-096f-580a-acbb-2cf4438bf235
2025-09-07,如果關鍵字 萬萬 出現，則股票隔日的收盤價可能 上漲,5fba042e-d352-5970-9085-ba7179028bc1
2025-09-07,如果關鍵字 第三三季 出現，則股票隔日的收盤價可能 上漲,10e85787-7f5a-5e38-8e2b-ea38df0d2041
2025-09-07,如果關鍵字 三季第三季 出現，則股票隔日的收盤價可能 上漲,1ba21b06-06d7-54f5-8e54-f405b038505b
2025-09-07,如果關鍵字 純益億元 出現，則股票隔日的收盤價可能 上漲,c1359adf-0bb9-5d19-9138-5786a1ce593d
2025-09-07,如果關鍵字 成長營收 出現，則股票隔日的收盤價可能 上漲,2c0dbc6f-8b40-56a5-96f7-f8b20623efb2
2025-09-07,如果關鍵字 同期新高 出現，則股票隔日的收盤價可能 上漲,8ce040e6-8f00-54cb-812e-29beda9a3085
2025-09-07,如果關鍵字 億元累計 出現，則股票隔日的收盤價可能 上漲,d069c021-1b9a-513b-a68d-15ac02e5f687
2025-09-07,如果關鍵字 萬元年增率 出現，則股票隔日的收盤價可能 上漲,3b4c1086-0ad8-5ed0-93e8-bb69141949e6
2025-09-07,如果關鍵字 營收一覽 出現，則股票隔日的收盤價可能 上漲,217a72b8-0577-5d93-ba56-80c8ed3dc2a5
2025-09-07,如果關鍵字 三季前三季 出現，則股票隔日的收盤價可能 上漲,92692646-3008-5eb8-ac3c-d8922a276bc9
2025-09-07,如果關鍵字 日股價 出現，則股票隔日的收盤價可能 上漲,9abcc439-4295-5dd1-9bd6-f7f77959d5ae
2025-09-07,如果關鍵字 為新 出現，則股票隔日的收盤價可能 上漲,73988663-26f1-5792-b51f-4c9968a33d06
2025-09-07,如果關鍵字 為億元 出現，則股票隔日的收盤價可能 上漲,7489de33-c567-5b2b-b9d9-9e01ec7a116b
2025-09-07,如果關鍵字 個月 出現，則股票隔日的收盤價可能 上漲,b69510d7-10ec-54fe-8e33-942589e15bd7
2025-09-07,如果關鍵字 註數據 出現，則股票隔日的收盤價可能 上漲,532cc82d-51fa-5762-9415-0a8eeddcafaf
2025-09-07,如果關鍵字 為投資 出現，則股票隔日的收盤價可能 上漲,a609b15a-4d0e-5060-9061-86afa75957e7
2025-09-07,如果關鍵字 近個 出現，則股票隔日的收盤價可能 上漲,a80f4b93-43a1-551a-a328-faf69688f896
2025-09-07,如果關鍵字 張外資 出現，則股票隔日的收盤價可能 上漲,8780d64c-6352-55ee-b3ba-8a1e82f2f4ad
2025-09-07,如果關鍵字 外資買賣 出現，則股票隔日的收盤價可能 上漲,f7a85c60-6a36-5027-a7f3-9f584d62359c
2025-09-07,如果關鍵字 價為元 出現，則股票隔日的收盤價可能 上漲,71da4095-2640-5ca3-a826-82124dfe8b12
2025-09-07,如果關鍵字 張自營 出現，則股票隔日的收盤價可能 上漲,ab1f34f9-ffd3-5b29-abb4-216325cb30b1
2025-09-07,如果關鍵字 張投信 出現，則股票隔日的收盤價可能 上漲,ec01d37e-ad62-5249-8fcb-1f595db48b5f
2025-09-07,如果關鍵字 月累計 出現，則股票隔日的收盤價可能 上漲,68242696-2799-51a1-bae0-319bad703578
2025-09-07,如果關鍵字 累計年增率 出現，則股票隔日的收盤價可能 上漲,583e77e8-e0c4-573f-bdce-c3dbed7a0535
2025-09-07,如果關鍵字 業務為 出現，則股票隔日的收盤價可能 上漲,35dd8b28-13e8-55fb-83e2-f0c13388d120
2025-09-07,如果關鍵字 最新價為 出現，則股票隔日的收盤價可能 上漲,1048fc16-d327-5323-93a4-36a6fae97c50
2025-09-07,如果關鍵字 一覽月份 出現，則股票隔日的收盤價可能 上漲,bad69b9e-e75f-5901-9e98-8ed5c1b4d972
2025-09-07,如果關鍵字 合計買賣 出現，則股票隔日的收盤價可能 上漲,d7cff415-ab17-5cf2-a191-b2d17fe1106f
2025-09-07,如果關鍵字 日籌碼 出現，則股票隔日的收盤價可能 上漲,79cc3dfe-5e64-5aaf-b314-1fb3ea8c451d
2025-09-07,如果關鍵字 籌碼三大 出現，則股票隔日的收盤價可能 上漲,f07a7b40-5e00-5fd7-a093-6f30ba76bbf7
2025-09-07,如果關鍵字 張近 出現，則股票隔日的收盤價可能 上漲,ee632de7-ee5b-5b00-a5f2-60ac76049c07
2025-09-07,如果關鍵字 投信買賣 出現，則股票隔日的收盤價可能 上漲,1a32acd7-d52d-5b1f-9f3d-9dd5f0984c7d
2025-09-07,如果關鍵字 自營商買賣 出現，則股票隔日的收盤價可能 上漲,cc0a337d-d479-5ac0-bd37-2419deff1f15
2025-09-07,如果關鍵字 高達註 出現，則股票隔日的收盤價可能 上漲,40d06507-760f-5666-9ffd-bb939a622ad8
2025-09-07,如果關鍵字 TW所屬 出現，則股票隔日的收盤價可能 上漲,30bf3bc8-9dc6-5bb5-84da-49e681e645ba
2025-09-07,如果關鍵字 僅供參考不作 出現，則股票隔日的收盤價可能 上漲,54b00222-d10e-5a2b-93ba-907793dc0ff6
2025-09-07,如果關鍵字 所屬產業 出現，則股票隔日的收盤價可能 上漲,ebbc01df-e995-56d8-bc61-baa9d90b3ea3
2025-09-07,如果關鍵字 不作為 出現，則股票隔日的收盤價可能 上漲,70874ead-c941-5a89-b9a1-b7f5545dc870
2025-09-07,如果關鍵字 投資建議 出現，則股票隔日的收盤價可能 上漲,1f395bbc-1e7d-59ab-b26f-d442bdff3ba1
2025-09-07,如果關鍵字 產業為 出現，則股票隔日的收盤價可能 上漲,acedfc76-f2ba-57bc-988a-1b9091459559
2025-09-07,如果關鍵字 數據僅供 出現，則股票隔日的收盤價可能 上漲,2b7a4165-5579-5322-b179-84693daaecf3
2025-09-07,如果關鍵字 億元季增 出現，則股票隔日的收盤價可能 上漲,239c3f27-0157-5fa6-8991-70973db70362
2025-09-07,如果關鍵字 營收年增率 出現，則股票隔日的收盤價可能 上漲,bd536bf9-1c55-53f9-a55d-c721b63a1665
2025-09-07,如果關鍵字 供參考僅供參考 出現，則股票隔日的收盤價可能 上漲,82e767f2-eaa2-55e8-bbc8-f8c3fca22f6f
2025-09-07,如果關鍵字 僅供參考 出現，則股票隔日的收盤價可能 上漲,9f668c42-1838-56e3-94a5-4e55055dca54
2025-09-07,如果關鍵字 三大法人 出現，則股票隔日的收盤價可能 上漲,baafba5c-5c50-5e35-8163-0f8f458131fb
2025-09-07,如果關鍵字 個百分 出現，則股票隔日的收盤價可能 上漲,a78888b4-192d-554c-bbbd-2f57052f9da7
2025-09-07,如果關鍵字 新聞營收 出現，則股票隔日的收盤價可能 上漲,3f08962a-f677-5bd8-aa18-233df40a801c
2025-09-07,如果關鍵字 元近 出現，則股票隔日的收盤價可能 上漲,c3919ffa-794e-5b00-a7df-4ac89eab1c71
2025-09-07,如果關鍵字 主要業務 出現，則股票隔日的收盤價可能 上漲,ad6a7145-06a1-5331-a287-762fa5838eef
2025-09-07,如果關鍵字 營收萬元 出現，則股票隔日的收盤價可能 上漲,567a2e99-1a81-5296-8425-fd8b36362fbc
2025-09-07,如果關鍵字 自營營商 出現，則股票隔日的收盤價可能 上漲,a50f776b-52cc-5fe0-87c6-13c03b332d71
2025-09-07,如果關鍵字 營商自營商 出現，則股票隔日的收盤價可能 上漲,79c6f599-a8ea-5bd2-9fe1-5c09a9035f51
2025-09-07,如果關鍵字 金TW 出現，則股票隔日的收盤價可能 上漲,bc118409-cfe0-5436-84d9-a598ab3f2572
2025-09-07,如果關鍵字 累計營收 出現，則股票隔日的收盤價可能 上漲,b5953abf-998c-5c84-bfbe-42c68c45c715
2025-09-07,如果關鍵字 參考供參考 出現，則股票隔日的收盤價可能 上漲,d246d3c1-860b-5c0d-9067-725b3d5e4f4f
2025-09-07,如果關鍵字 增率今年 出現，則股票隔日的收盤價可能 上漲,be2d3ee5-024a-54f4-b808-b3ef62759fac
2025-09-07,如果關鍵字 伺服伺服器 出現，則股票隔日的收盤價可能 下跌,5d4c7085-6059-519a-b671-8a5569bf6af3
2025-09-07,如果關鍵字 解決方案 出現，則股票隔日的收盤價可能 下跌,9edadc52-f557-59b4-b807-039d2ecf12a7
2025-09-07,如果關鍵字 方案解決方案 出現，則股票隔日的收盤價可能 下跌,8bfe9b84-d8b5-5526-b318-26ce04dfbaef
2025-09-07,如果關鍵字 今日 出現，則股票隔日的收盤價可能 下跌,d5c0397c-8817-50b6-b8dc-1da13908ea8e
2025-09-07,如果關鍵字 一步進一步 出現，則股票隔日的收盤價可能 下跌,959671ed-42fe-5786-91d6-6033dcf517b2
2025-09-07,如果關鍵字 董事董事長 出現，則股票隔日的收盤價可能 下跌,dd680513-cfcc-5a25-8002-d6c731a94168
2025-09-07,如果關鍵字 經理總經理 出現，則股票隔日的收盤價可能 下跌,be22f13e-8424-55e1-a8ee-4219324b611d
2025-09-07,如果關鍵字 概念概念股 出現，則股票隔日的收盤價可能 下跌,ff668986-ac46-553c-8fe3-8c436dddbe03
2025-09-07,如果關鍵字 的AI 出現，則股票隔日的收盤價可能 下跌,ce45abef-2c44-5495-bf46-2c30abf10f4b
2025-09-07,如果關鍵字 年年 出現，則股票隔日的收盤價可能 下跌,20a7571d-7e00-5940-abe2-560cf25ab19d
2025-09-07,如果關鍵字 現金股利 出現，則股票隔日的收盤價可能 下跌,840a2212-4779-5e76-b8b0-fafac197b384
2025-09-07,如果關鍵字 將持續 出現，則股票隔日的收盤價可能 下跌,e1f9dea9-5f9a-5337-aa43-d843e116cce8
2025-09-07,如果關鍵字 日召開 出現，則股票隔日的收盤價可能 下跌,9cb10d93-96dd-520a-bbdf-3608b064971a
2025-09-07,如果關鍵字 AI伺服 出現，則股票隔日的收盤價可能 下跌,dbcd7134-2e8e-513a-82d1-970b38ad57b8
2025-09-07,如果關鍵字 半導導體 出現，則股票隔日的收盤價可能 下跌,a6c17e15-ef11-515e-bcfb-f916490e2202
2025-09-07,如果關鍵字 光寶科 出現，則股票隔日的收盤價可能 下跌,0b8249ee-f897-58d9-8f59-f322de977027
2025-09-07,如果關鍵字 股東股東會 出現，則股票隔日的收盤價可能 下跌,87e9eae2-8d5f-5784-b01b-f31cda05c509
2025-09-07,如果關鍵字 人機無人機 出現，則股票隔日的收盤價可能 下跌,8aa5a766-d59f-5236-9919-5f47e8bfb612
2025-09-07,如果關鍵字 無人人機 出現，則股票隔日的收盤價可能 下跌,97ec2a96-ff56-587b-ae7b-5b0e70ee701c
2025-09-07,如果關鍵字 董事董事會 出現，則股票隔日的收盤價可能 下跌,1c48d237-4bb8-504b-ba51-c3cb2a95c94e
